,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,HomePlayer19,HomePlayer20,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,AwayPlayer19,AwayPlayer20,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
0,2,0,Arsenal,Brighton and Hove Albion,"<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""131"">4-3-3</strong>",Bernd Leno,Calum Chambers,Gabriel Magalhães,Rob Holding,Kieran Tierney,Granit Xhaka,Thomas Partey,Nicolas Pépé,Martin Ødegaard,Emile Smith Rowe,Pierre-Emerick Aubameyang,Rúnar Rúnarsson,Cédric Soares,Pablo Marí,Mohamed Elneny,Bukayo Saka,Dani Ceballos,Alexandre Lacazette,Eddie Nketiah,Gabriel Martinelli,Robert Sánchez,Ben White,Adam Webster,Dan Burn,Lewis Dunk,Pascal Groß,Yves Bissouma,Jakub Moder,Leandro Trossard,Alexis Mac Allister,Alireza Jahanbakhsh,Jason Steele,Tom McGill,Michal Karbownik,Steven Alzate,Adam Lallana,Moisés Caicedo,Aaron Connolly,Andi Zeqiri,Percy Tau,Matchweek 38,14,-4,58,41
1,2,1,Aston Villa,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""2"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-2-1</strong>",Emiliano Martínez,Ezri Konsa,Kortney Hause,Tyrone Mings,Matt Targett,Bertrand Traoré,Jack Grealish,Marvelous Nakamba,John McGinn,Anwar El Ghazi,Ollie Watkins,Tom Heaton,Ahmed El Mohamady,Neil Taylor,Jaden Philogene,Jacob Ramsey,Douglas Luiz,Carney Chukwuemeka,Wesley,Keinan Davis,Édouard Mendy,Antonio Rüdiger,Reece James,Thiago Silva,Jorginho,Ben Chilwell,César Azpilicueta,Mateo Kovacic,Timo Werner,Mason Mount,Christian Pulisic,Kepa,Kurt Zouma,Andreas Christensen,Marcos Alonso,Hakim Ziyech,Kai Havertz,Billy Gilmour,Olivier Giroud,Callum Hudson-Odoi,Matchweek 38,8,23,52,67
2,0,2,Fulham,Newcastle United,"<strong class=""matchTeamFormation"" data-team-id=""34"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""23"">5-3-2</strong>",Marek Rodák,Kenny Tete,Tim Ream,Tosin Adarabioyo,Josh Onomah,Joe Bryan,Bobby De Cordova-Reid,Frank Anguissa,Ivan Cavaleiro,Fábio Carvalho,Ademola Lookman,Alphonse Areola,Ola Aina,Michael Hector,Ruben Loftus-Cheek,Tyrese Francois,Mario Lemina,Sylvester Jasper,Josh Maja,,Martin Dúbravka,Emil Krafth,Federico Fernández,Paul Dummett,Matt Ritchie,Jacob Murphy,Joe Willock,Jonjo Shelvey,Sean Longstaff,Allan Saint-Maximin,Miguel Almirón,Mark Gillespie,Fabian Schär,Jamal Lewis,Javier Manquillo,Ciaran Clark,Matty Longstaff,Jeff Hendrick,Dwight Gayle,Andy Carroll,Matchweek 38,-24,-18,28,42
3,3,1,Leeds United,West Bromwich Albion,"<strong class=""matchTeamFormation"" data-team-id=""9"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""36"">5-3-2</strong>",Kiko Casilla,Luke Ayling,Liam Cooper,Gaetano Berardi,Stuart Dallas,Ezgjan Alioski,Kalvin Phillips,Raphinha,Rodrigo,Pablo Hernández,Jack Harrison,Illan Meslier,Pascal Struijk,Leif Davis,Oliver Casey,Jamie Shackleton,Jack Jenkins,Ian Poveda,Patrick Bamford,Tyler Roberts,Sam Johnstone,Kyle Bartley,Dara O'Shea,Conor Townsend,Darnell Furlong,Semi Ajayi,Ainsley Maitland-Niles,Conor Gallagher,Okay Yokuslu,Callum Robinson,Matt Phillips,David Button,Caleb Taylor,Lee Peltier,Tim Iroegbunam,Grady Diangana,Hal Robson-Kanu,Taylor Gardner-Hickman,Karlan Grant,Mbaye Diagne,Matchweek 38,6,-39,56,26
4,2,4,Leicester City,Tottenham Hotspur,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""21"">4-2-3-1</strong>",Kasper Schmeichel,Luke Thomas,Timothy Castagne,Wesley Fofana,Çaglar Söyüncü,Wilfred Ndidi,Youri Tielemans,James Maddison,Marc Albrighton,Jamie Vardy,Kelechi Iheanacho,Danny Ward,Christian Fuchs,Wes Morgan,Daniel Amartey,Ricardo Pereira,Dennis Praet,Nampalys Mendy,Hamza Choudhury,Ayoze Pérez,Hugo Lloris,Davinson Sánchez,Sergio Reguilón,Toby Alderweireld,Matt Doherty,Pierre-Emile Højbjerg,Dele Alli,Son Heung-Min,Harry Winks,Steven Bergwijn,Harry Kane,Joe Hart,Joe Rodon,Nile John,Eric Dier,Érik Lamela,Dane Scarlett,Carlos Vinícius,Lucas Moura,Gareth Bale,Matchweek 38,20,21,66,59
5,2,0,Liverpool,Crystal Palace,"<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""6"">4-3-3</strong>",Alisson Becker,Nathaniel Phillips,Trent Alexander-Arnold,Andy Robertson,Rhys Williams,Fabinho,Georginio Wijnaldum,Thiago Alcântara,Mohamed Salah,Sadio Mané,Roberto Firmino,Adrián,Kostas Tsimikas,Neco Williams,Alex Oxlade-Chamberlain,Jordan Henderson,Xherdan Shaqiri,Curtis Jones,James Milner,Diogo Jota,Vicente Guaita,James Tomkins,Joel Ward,Gary Cahill,Tyrick Mitchell,Cheikhou Kouyaté,James McCarthy,Jairo Riedewald,Andros Townsend,Jordan Ayew,Wilfried Zaha,Jack Butland,Patrick van Aanholt,Nathaniel Clyne,Martin Kelly,Jesurun Rak-Sakyi,Jeffrey Schlupp,Jean-Philippe Mateta,,,Matchweek 38,24,-23,66,44
6,5,0,Manchester City,Everton,"<strong class=""matchTeamFormation"" data-team-id=""11"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">4-3-1-2</strong>",Ederson,Oleksandr Zinchenko,Rúben Dias,Kyle Walker,John Stones,Fernandinho,Phil Foden,Kevin De Bruyne,Gabriel Jesus,Raheem Sterling,Riyad Mahrez,Zack Steffen,Benjamin Mendy,Aymeric Laporte,Nathan Aké,Bernardo Silva,Ilkay Gündogan,Rodri,Sergio Agüero,Ferran Torres,Jordan Pickford,Mason Holgate,Michael Keane,Ben Godfrey,Lucas Digne,Gylfi Sigurdsson,Allan,Abdoulaye Doucouré,Tom Davies,Dominic Calvert-Lewin,Richarlison,João Virgínia,Robin Olsen,Niels Nkounkou,Kyle John,Séamus Coleman,André Gomes,Alex Iwobi,Bernard,,Matchweek 38,46,4,83,59
7,1,0,Sheffield United,Burnley,"<strong class=""matchTeamFormation"" data-team-id=""18"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-1-1</strong>",Aaron Ramsdale,Jack Robinson,Chris Basham,John Egan,John Fleck,Oliver Norwood,George Baldock,Enda Stevens,David McGoldrick,Ben Osborn,Daniel Jebbison,Wes Foderingham,Max Lowe,Phil Jagielka,Jayden Bogle,Kean Bryan,John Lundstram,Zak Brunt,William Osula,Rhian Brewster,Will Norris,James Tarkowski,Jimmy Dunne,Charlie Taylor,Matthew Lowton,Jack Cork,Dwight McNeil,Ashley Westwood,Jóhann Gudmundsson,Josh Brownhill,Chris Wood,Bailey Peacock-Farrell,Erik Pieters,Anthony Driscoll-Glennon,Richard Nartey,Lewis Richardson,Matej Vydra,Jay Rodríguez,Ashley Barnes,,Matchweek 38,-44,-21,20,39
8,3,0,West Ham United,Southampton,"<strong class=""matchTeamFormation"" data-team-id=""25"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""20"">4-4-2</strong>",Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Vladimír Coufal,Craig Dawson,Declan Rice,Jarrod Bowen,Pablo Fornals,Jesse Lingard,Tomás Soucek,Michail Antonio,Darren Randolph,Fabián Balbuena,Ryan Fredericks,Ben Johnson,Issa Diop,Mark Noble,Saïd Benrahma,Ademipo Odubeko,Andrii Yarmolenko,Alex McCarthy,Jannik Vestergaard,Mohammed Salisu,Jan Bednarek,Kyle Walker-Peters,James Ward-Prowse,Stuart Armstrong,Nathan Redmond,Ibrahima Diallo,Takumi Minamino,Danny Ings,Fraser Forster,Jack Stephens,Oriol Romeu,Moussa Djenepo,Nathan Tella,Will Ferry,Michael Obafemi,Theo Walcott,Daniel Nlundulu,Matchweek 38,12,-18,62,43
9,1,2,Wolverhampton Wanderers,Manchester United,"<strong class=""matchTeamFormation"" data-team-id=""38"">3-5-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""12"">4-2-3-1</strong>",Rui Patrício,Conor Coady,Willy-Arnaud Boly,Romain Saïss,Rúben Neves,Leander Dendoncker,Rayan Aït-Nouri,Nélson Semedo,João Moutinho,Adama Traoré,Fábio Silva,John Ruddy,Andreas Söndergaard,Ki-Jana Hoever,Marçal,Maximilian Kilman,Morgan Gibbs-White,Vitinha,Willian José,,Dean Henderson,Brandon Williams,Alex Telles,Axel Tuanzebe,Eric Bailly,Anthony Elanga,Donny van de Beek,Daniel James,Nemanja Matic,Juan Mata,Amad Diallo,Lee Grant,Aaron Wan-Bissaka,Will Fish,Victor Lindelöf,Hannibal Mejbri,Scott McTominay,Marcus Rashford,Shola Shoretire,Mason Greenwood,Matchweek 38,-15,28,45,71
