,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
0,3,1,Arsenal,Everton,"<strong class=""matchTeamFormation"" data-team-id=""1"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">4-3-3</strong>",Petr Cech,Gabriel Paulista,Laurent Koscielny,Rob Holding,Nacho Monreal,Héctor Bellerín,Aaron Ramsey,Granit Xhaka,Danny Welbeck,Alexis Sánchez,Mesut Özil,David Ospina,Per Mertesacker,Mohamed Elneny,Francis Coquelin,Alex Iwobi,Olivier Giroud,Theo Walcott,Joel Robles,Phil Jagielka,Leighton Baines,Ashley Williams,Mason Holgate,Morgan Schneiderlin,Tom Davies,Idrissa Gueye,Romelu Lukaku,Enner Valencia,Kevin Mirallas,Mateusz Hewelt,Matthew Pennington,Muhamed Besic,Joe Williams,Gareth Barry,Ross Barkley,Arouna Koné,Matchweek 38,31,20,72,61
1,1,2,Burnley,West Ham United,"<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""25"">3-4-2-1</strong>",Tom Heaton,Stephen Ward,James Tarkowski,Kevin Long,Matthew Lowton,Ashley Westwood,Robert Brady,Scott Arfield,Jeff Hendrick,Andre Gray,Sam Vokes,Nick Pope,Tendayi Darikwa,Jon Flanagan,Steven Defour,Jóhann Gudmundsson,Ashley Barnes,Daniel Agyei,Adrián,James Collins,Angelo Ogbonna,José Fonte,Manuel Lanzini,Aaron Cresswell,Sam Byram,Edimilson Fernandes,Robert Snodgrass,Sofiane Feghouli,André Ayew,Darren Randolph,Daniel Kemp,Declan Rice,Moses Makasi,Domingos Quina,Ashley Fletcher,,Matchweek 38,-15,-18,40,42
2,5,1,Chelsea,Sunderland,"<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""29"">3-5-1-1</strong>",Thibaut Courtois,César Azpilicueta,David Luiz,John Terry,Cesc Fàbregas,Victor Moses,N'Golo Kanté,Marcos Alonso,Diego Costa,Eden Hazard,Willian,Asmir Begovic,Gary Cahill,Kurt Zouma,Nemanja Matic,Nathaniel Chalobah,Michy Batshuayi,Pedro,Jordan Pickford,John O'Shea,Billy Jones,Joleon Lescott,Lee Cattermole,Sebastian Larsson,Javier Manquillo,Bryan Oviedo,Jack Rodwell,Fabio Borini,Adnan Januzaj,Vito Mannone,Donald Love,Lynden Gooch,Elliot Embleton,Darron Gibson,Josh Maja,Joel Asoro,Matchweek 38,48,-36,90,24
3,1,7,Hull City,Tottenham Hotspur,"<strong class=""matchTeamFormation"" data-team-id=""41"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""21"">4-2-3-1</strong>",David Marshall,Andrea Ranocchia,Curtis Davies,Michael Dawson,Omar Elabdellaoui,Alfred N'Diaye,Josh Tymon,Tom Huddlestone,Sam Clucas,Oumar Niasse,Jarrod Bowen,Eldin Jakupovic,Andy Robertson,Ahmed El Mohamady,Greg Olley,Daniel Batty,Kamil Grosicki,Dieumerci Mbokani,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Kieran Trippier,Ben Davies,Christian Eriksen,Eric Dier,Son Heung-Min,Victor Wanyama,Dele Alli,Harry Kane,Michel Vorm,Kevin Wimmer,Moussa Sissoko,Georges-Kévin Nkoudou,Mousa Dembélé,Filip Lesniak,Vincent Janssen,Matchweek 38,-37,54,34,83
4,1,1,Leicester City,Bournemouth,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""127"">4-4-1-1</strong>",Kasper Schmeichel,Ben Chilwell,Danny Simpson,Yohan Benalouane,Christian Fuchs,Marc Albrighton,Andy King,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Islam Slimani,Ron-Robert Zieler,Daniel Amartey,Marcin Wasilewski,Demarai Gray,Bartosz Kapustka,Shinji Okazaki,Ahmed Musa,Ryan Allsop,Steve Cook,Simon Francis,Charlie Daniels,Adam Smith,Marc Pugh,Junior Stanislas,Dan Gosling,Andrew Surman,Lys Mousset,Ryan Fraser,Aaron Ramsdale,Brad Smith,Baily Cargill,Jordon Ibe,Matthew Worthington,Benik Afobe,Sam Surridge,Matchweek 38,-15,-12,43,45
5,3,0,Liverpool,Middlesbrough,"<strong class=""matchTeamFormation"" data-team-id=""10"">4-1-2-1-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""13"">4-3-3</strong>",Simon Mignolet,Joël Matip,Nathaniel Clyne,Dejan Lovren,James Milner,Adam Lallana,Georginio Wijnaldum,Emre Can,Philippe Coutinho,Daniel Sturridge,Roberto Firmino,Loris Karius,Alberto Moreno,Ragnar Klavan,Trent Alexander-Arnold,Lucas Leiva,Marko Grujic,Divock Origi,Brad Guzan,George Friend,Fábio,Ben Gibson,Calum Chambers,Grant Leadbitter,Adam Clayton,Adam Forshaw,Stewart Downing,Patrick Bamford,Rudy Gestede,Dimitrios Konstantopoulos,Daniel Ayala,Bernardo Espinosa,Marten de Roon,Viktor Fischer,Álvaro Negredo,Cristhian Stuani,Matchweek 38,33,-23,73,28
6,2,0,Manchester United,Crystal Palace,"<strong class=""matchTeamFormation"" data-team-id=""12"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""6"">4-3-3</strong>",Joel Pereira,Phil Jones,Eric Bailly,Timothy Fosu-Mensah,Demetri Mitchell,Paul Pogba,Axel Tuanzebe,Scott McTominay,Jesse Lingard,Wayne Rooney,Josh Harrop,Kieran O'Hara,Daley Blind,Michael Carrick,Angel Gomes,Matty Willock,Zachary Dearnley,Anthony Martial,Wayne Hennessey,Martin Kelly,Joel Ward,Jeffrey Schlupp,James Tomkins,Luka Milivojevic,Jason Puncheon,James McArthur,Patrick van Aanholt,Wilfried Zaha,Christian Benteke,Julian Speroni,Scott Dann,Aaron Wan-Bissaka,Lee Chung-Yong,Sullay Kaikai,Fraizer Campbell,Bakary Sako,Matchweek 38,23,-11,66,41
7,0,1,Southampton,Stoke City,"<strong class=""matchTeamFormation"" data-team-id=""20"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""42"">3-4-2-1</strong>",Fraser Forster,Cédric Soares,Maya Yoshida,Jack Stephens,Ryan Bertrand,James Ward-Prowse,Nathan Redmond,Oriol Romeu,Steven Davis,Dusan Tadic,Charlie Austin,Stuart Taylor,Jérémy Pied,Martín Cáceres,Sofiane Boufal,Pierre-Emile Højbjerg,Jordy Clasie,Manolo Gabbiadini,Jack Butland,Geoff Cameron,Ryan Shawcross,Bruno Martins Indi,Mame Diouf,Joe Allen,Erik Pieters,Glenn Whelan,Xherdan Shaqiri,Ramadan Sobhi,Peter Crouch,Lee Grant,Phil Bardsley,Muniesa,Thomas Edwards,Charlie Adam,Saido Berahino,Jonathan Walters,Matchweek 38,-6,-16,46,41
8,2,1,Swansea City,West Bromwich Albion,"<strong class=""matchTeamFormation"" data-team-id=""45"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""36"">3-5-1-1</strong>",Kristoffer Nordfeldt,Martin Olsson,Alfie Mawson,Federico Fernández,Kyle Naughton,Leon Britton,Tom Carroll,Leroy Fer,Gylfi Sigurdsson,Fernando Llorente,Jordan Ayew,Gerhard Tremmel,Jordi Amat,Stephen Kingsley,Luciano Narsingh,Ki Sung-Yeung,Jack Cork,Oliver McBurnie,Ben Foster,Jonny Evans,Marc Wilson,Craig Dawson,Claudio Yacob,Darren Fletcher,Jake Livermore,Chris Brunt,Allan Nyom,James Morrison,Salomón Rondón,Boaz Myhill,Kane Wilson,Jonathan Leko,Nacer Chadli,Sam Field,James McClean,Hal Robson-Kanu,Matchweek 38,-26,-7,38,45
9,0,5,Watford,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""33"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-2-3-1</strong>",Heurelho Gomes,Daryl Janmaat,José Holebas,Valon Behrami,Brandon Mason,Nordin Amrabat,Abdoulaye Doucouré,Tom Cleverley,Étienne Capoue,M'Baye Niang,Stefano Okaka,Costel Pantilimon,Rene Gilmartin,Juan Camilo Zuñiga,Andrew Eleftheriou,Dion Pereira,Ben Watson,Troy Deeney,Willy Caballero,Vincent Kompany,Gaël Clichy,Fernandinho,Nicolás Otamendi,Kevin De Bruyne,David Silva,Yaya Touré,Leroy Sané,Gabriel Jesus,Sergio Agüero,Angus Gunn,Bacary Sagna,Aleksandar Kolarov,John Stones,Jesús Navas,Raheem Sterling,Kelechi Iheanacho,Matchweek 38,-23,36,40,75
