Club,capacity
Arsenal, 60704
Aston Villa,42530
AFC Bournemouth,11307
Brentford,17250
Brighton & Hove Albion,31876
Chelsea,40173
Crystal Palace,25486
Everton,39414
Fulham,18439
Leeds United,37608
Leicester City,32262
Liverpool,61276
Manchester City,53400
Manchester United,74031
Newcastle United,52257
Nottingham Forest,30404
Southampton,32384
Tottenham Hotspur,62850
West Ham United,62500
Wolverhampton Wanderers,31750
Swansea City,20937
Watford,22200
West Bromwich Albion,26445
Norwich City,27359
Cardiff City,33280
Huddersfield Town,24500
Middlesbrough,33746
Queens Park Rangers,18439
Hull City,25400
Sheffield United,32050
Nottingham Forest,30404
Stoke City,30089
Burnley,21744
West Bromwich Albion,26445
Sunderland,48707
