Club,capacity
Arsenal,"60,704"
Aston Villa,"42,530"
Bournemouth,"11,307"
Brentford,"17,250"
Brighton & Hove Albion,"31,876"
Chelsea,"40,173"
Crystal Palace,"25,486"
Everton,"39,414"
Fulham,"18,439"
Leeds United,"37,608"
Leicester City,"32,262"
Liverpool,"61,276"
Manchester City,"53,400"
Manchester United,"74,031"
Newcastle United,"52,257"
Nottingham Forest,"30,404"
Southampton,"32,384"
Tottenham Hotspur,"62,850"
West Ham United,"62,500"
Wolverhampton Wanderers,"31,750"
Swansea City,"20,937"
Watford,"22,200"
West Bromwich Albion,"26,445"
Norwich City,"27,359"
Cardiff City,"33,280"
Huddersfield Town,"24,500"
Middlesbrough,"33,746"
Queens Park Rangers,"18,439"
Hull City,"25,400"
Sheffield United,"32,050"
Nottingham Forest,"30,404"
Stoke City,"30,089"
Burnley,"21,744"
West Bromwich Albion,"26,445"
Sunderland,"48,707"
