,home_score,home_team_name,away_score,away_team_name,away_fromation,home_formation,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior,Matchweek,HomePlayer1_Overall,HomePlayer1_Age,HomePlayer1_Height(in cm),HomePlayer1_Weight(in kg),AwayPlayer1_Overall,AwayPlayer1_Age,AwayPlayer1_Height(in cm),AwayPlayer1_Weight(in kg),HomePlayer2_Overall,HomePlayer2_Age,HomePlayer2_Height(in cm),HomePlayer2_Weight(in kg),AwayPlayer2_Overall,AwayPlayer2_Age,AwayPlayer2_Height(in cm),AwayPlayer2_Weight(in kg),HomePlayer3_Overall,HomePlayer3_Age,HomePlayer3_Height(in cm),HomePlayer3_Weight(in kg),AwayPlayer3_Overall,AwayPlayer3_Age,AwayPlayer3_Height(in cm),AwayPlayer3_Weight(in kg),HomePlayer4_Overall,HomePlayer4_Age,HomePlayer4_Height(in cm),HomePlayer4_Weight(in kg),AwayPlayer4_Overall,AwayPlayer4_Age,AwayPlayer4_Height(in cm),AwayPlayer4_Weight(in kg),HomePlayer5_Overall,HomePlayer5_Age,HomePlayer5_Height(in cm),HomePlayer5_Weight(in kg),AwayPlayer5_Overall,AwayPlayer5_Age,AwayPlayer5_Height(in cm),AwayPlayer5_Weight(in kg),HomePlayer6_Overall,HomePlayer6_Age,HomePlayer6_Height(in cm),HomePlayer6_Weight(in kg),AwayPlayer6_Overall,AwayPlayer6_Age,AwayPlayer6_Height(in cm),AwayPlayer6_Weight(in kg),HomePlayer7_Overall,HomePlayer7_Age,HomePlayer7_Height(in cm),HomePlayer7_Weight(in kg),AwayPlayer7_Overall,AwayPlayer7_Age,AwayPlayer7_Height(in cm),AwayPlayer7_Weight(in kg),HomePlayer8_Overall,HomePlayer8_Age,HomePlayer8_Height(in cm),HomePlayer8_Weight(in kg),AwayPlayer8_Overall,AwayPlayer8_Age,AwayPlayer8_Height(in cm),AwayPlayer8_Weight(in kg),HomePlayer9_Overall,HomePlayer9_Age,HomePlayer9_Height(in cm),HomePlayer9_Weight(in kg),AwayPlayer9_Overall,AwayPlayer9_Age,AwayPlayer9_Height(in cm),AwayPlayer9_Weight(in kg),HomePlayer10_Overall,HomePlayer10_Age,HomePlayer10_Height(in cm),HomePlayer10_Weight(in kg),AwayPlayer10_Overall,AwayPlayer10_Age,AwayPlayer10_Height(in cm),AwayPlayer10_Weight(in kg),HomePlayer11_Overall,HomePlayer11_Age,HomePlayer11_Height(in cm),HomePlayer11_Weight(in kg),AwayPlayer11_Overall,AwayPlayer11_Age,AwayPlayer11_Height(in cm),AwayPlayer11_Weight(in kg),HomePlayer12_Overall,HomePlayer12_Age,HomePlayer12_Height(in cm),HomePlayer12_Weight(in kg),AwayPlayer12_Overall,AwayPlayer12_Age,AwayPlayer12_Height(in cm),AwayPlayer12_Weight(in kg),HomePlayer13_Overall,HomePlayer13_Age,HomePlayer13_Height(in cm),HomePlayer13_Weight(in kg),AwayPlayer13_Overall,AwayPlayer13_Age,AwayPlayer13_Height(in cm),AwayPlayer13_Weight(in kg),HomePlayer14_Overall,HomePlayer14_Age,HomePlayer14_Height(in cm),HomePlayer14_Weight(in kg),AwayPlayer14_Overall,AwayPlayer14_Age,AwayPlayer14_Height(in cm),AwayPlayer14_Weight(in kg),HomePlayer15_Overall,HomePlayer15_Age,HomePlayer15_Height(in cm),HomePlayer15_Weight(in kg),AwayPlayer15_Overall,AwayPlayer15_Age,AwayPlayer15_Height(in cm),AwayPlayer15_Weight(in kg),HomePlayer16_Overall,HomePlayer16_Age,HomePlayer16_Height(in cm),HomePlayer16_Weight(in kg),AwayPlayer16_Overall,AwayPlayer16_Age,AwayPlayer16_Height(in cm),AwayPlayer16_Weight(in kg),HomePlayer17_Overall,HomePlayer17_Age,HomePlayer17_Height(in cm),HomePlayer17_Weight(in kg),AwayPlayer17_Overall,AwayPlayer17_Age,AwayPlayer17_Height(in cm),AwayPlayer17_Weight(in kg),HomePlayer18_Overall,HomePlayer18_Age,HomePlayer18_Height(in cm),HomePlayer18_Weight(in kg),AwayPlayer18_Overall,AwayPlayer18_Age,AwayPlayer18_Height(in cm),AwayPlayer18_Weight(in kg),HomePlayer19_Overall,HomePlayer19_Age,HomePlayer19_Height(in cm),HomePlayer19_Weight(in kg),AwayPlayer19_Overall,AwayPlayer19_Age,AwayPlayer19_Height(in cm),AwayPlayer19_Weight(in kg),HomePlayer20_Overall,HomePlayer20_Age,HomePlayer20_Height(in cm),HomePlayer20_Weight(in kg),AwayPlayer20_Overall,AwayPlayer20_Age,AwayPlayer20_Height(in cm),AwayPlayer20_Weight(in kg)
0,5,Arsenal,1,Everton,5-4-1,4-2-3-1,9,-19,66,39,38,74,23,188,77,76,34,199,101,79,23,190,87,80,28,191,82,76,29,172,67,77,25,185,75,77,25,189,75,77,24,184,75,70,21,183,75,66,19,195,74,80,19,178,65,74,24,176,67,79,28,185,82,79,28,184,76,82,22,178,68,75,25,183,75,76,20,179,75,63,20,176,68,77,28,181,74,75,23,180,70,74,22,175,72,81,24,187,71,83,29,190,83,64,37,192,87,61,17,185,75,80,28,191,82,76,23,185,77,75,31,174,78,83,28,185,77,78,32,177,77,75,28,183,82,82,24,181,71,73,21,183,73,66,19,195,74,76,20,182,64,74,30,183,78,82,30,175,73,57,18,175,71,81,26,183,73,67,20,185,70
1,1,Brentford,2,Leeds United,4-4-1-1,4-3-3,-7,-38,46,35,38,74,25,183,75,77,21,196,74,68,22,193,92,77,27,186,76,75,30,194,86,75,29,188,73,75,23,196,94,77,24,191,83,74,23,170,66,78,24,184,78,74,25,180,68,78,24,175,70,73,27,187,77,77,24,191,83,73,23,184,79,65,19,180,75,74,21,171,75,81,25,178,72,75,24,176,74,66,19,175,76,76,25,187,70,79,30,182,77,73,23,186,75,64,20,189,76,59,18,173,73,74,21,190,79,67,22,184,67,60,17,188,75,70,28,185,84,63,18,191,75,73,22,184,75,60,18,174,70,75,23,183,70,69,21,168,65,66,23,175,67,63,18,172,63,72,24,175,66,75,31,183,82,70,27,177,79,73,22,180,75
2,3,Brighton & Hove Albion,1,West Ham United,4-2-3-1,4-3-2-1,-4,11,48,56,38,76,23,197,85,82,36,190,83,81,22,172,66,79,31,175,66,75,26,191,75,80,28,175,76,78,29,192,88,77,31,188,77,77,29,184,75,81,26,190,95,75,26,180,77,79,25,178,67,76,30,181,78,77,28,167,59,66,20,180,78,82,22,185,80,79,24,182,80,82,26,192,86,75,22,174,72,78,24,175,70,73,30,185,73,79,31,178,82,66,30,188,79,82,28,195,94,74,20,163,62,75,34,188,78,72,29,193,76,77,27,179,70,59,18,180,81,76,28,181,74,75,33,178,73,68,21,180,69,75,23,184,76,75,23,186,76,70,22,180,75,75,34,177,76,77,24,173,69,59,19,186,72,55,16,183,71,76,31,190,83
3,1,Burnley,2,Newcastle United,4-3-3,4-4-2,-18,-19,35,46,38,83,29,199,76,81,32,190,80,71,30,190,82,58,20,201,83,81,28,188,81,75,27,163,70,71,20,193,81,74,31,172,76,76,27,185,70,77,27,188,83,77,21,183,70,72,23,180,65,76,25,180,69,70,29,192,83,75,25,175,76,75,21,186,76,76,32,184,75,77,27,174,70,75,24,179,69,79,29,180,66,75,31,186,84,79,24,173,67,74,34,198,90,76,30,190,88,61,20,186,77,74,29,183,82,71,36,180,79,73,26,184,83,56,18,178,70,75,32,190,83,73,34,165,63,76,29,188,84,73,32,185,78,74,31,172,76,73,32,185,78,72,26,179,74,65,27,195,81,73,30,174,78,76,25,180,69,74,24,190,83
4,2,Chelsea,1,Watford,4-3-3,3-4-2-1,42,-42,71,23,38,83,29,197,86,70,26,191,81,83,28,190,85,70,26,191,81,85,36,183,79,74,27,191,87,83,31,178,77,75,30,174,61,82,26,184,75,75,30,188,84,83,29,197,86,74,31,175,67,90,30,168,70,78,31,187,91,81,21,178,87,60,18,183,75,83,22,178,70,71,19,182,70,84,22,188,82,73,27,180,69,84,28,181,65,75,29,184,82,81,21,178,87,69,35,190,94,74,22,182,75,73,27,191,82,73,21,191,84,72,32,190,83,82,24,178,77,72,24,190,83,59,18,185,70,74,27,191,87,75,25,191,88,69,20,178,73,78,27,189,76,72,31,183,79,82,22,177,69,60,18,183,75,88,28,191,94,75,22,176,73
5,1,Crystal Palace,0,Manchester United,4-2-3-1,4-3-3,3,1,45,58,38,80,34,190,80,84,30,192,82,75,30,175,67,80,26,187,80,74,31,188,83,84,28,194,100,71,21,180,70,76,22,184,75,77,25,192,90,82,28,181,71,75,28,178,72,88,26,179,69,76,26,185,74,80,24,193,88,74,21,182,74,78,19,181,70,82,28,180,66,65,19,180,70,61,18,178,73,62,18,182,70,75,23,187,83,85,34,185,77,73,28,196,95,76,35,188,85,74,31,191,77,79,27,186,77,76,30,186,80,88,26,179,69,78,31,189,83,74,29,185,71,75,33,178,66,86,28,191,81,77,23,178,67,84,28,194,100,75,30,190,83,78,33,170,63,75,29,182,81,80,24,188,85,75,24,192,88,62,17,175,70
6,4,Leicester City,1,Southampton,4-4-2,4-2-3-1,0,-21,49,40,38,85,34,189,89,75,31,193,79,80,33,188,77,76,22,191,85,78,20,190,76,74,27,185,75,79,25,180,80,77,24,174,64,77,23,183,80,76,32,176,68,84,24,176,72,78,29,183,83,75,29,167,73,75,26,178,70,82,24,175,73,81,26,173,66,81,23,180,66,77,29,183,75,71,22,177,70,76,27,173,69,86,34,179,74,76,24,172,69,74,28,191,88,66,21,173,61,80,25,185,82,76,25,189,77,84,27,175,70,71,22,180,85,76,26,186,79,66,21,173,61,76,31,175,74,74,23,177,65,78,27,178,72,73,22,179,68,77,22,183,71,76,24,178,70,78,24,185,82,72,34,178,70,77,23,174,71,76,32,176,68
7,3,Liverpool,1,Wolverhampton Wanderers,3-5-2,4-3-3,66,-3,89,51,38,89,28,191,91,79,28,192,84,87,27,178,64,54,19,184,73,83,29,194,90,79,30,195,97,78,22,194,95,79,28,186,80,87,22,180,69,80,34,170,61,84,31,182,80,73,20,179,70,80,26,172,64,80,27,170,70,86,30,174,70,82,24,180,80,89,29,175,69,77,26,189,88,75,28,189,87,83,30,188,81,82,24,178,73,78,21,172,62,67,22,188,74,70,34,193,97,89,29,193,92,64,20,187,76,74,25,179,68,65,19,183,72,79,35,175,70,75,32,178,72,73,20,185,75,78,25,165,58,73,18,170,64,62,22,180,73,89,29,175,71,62,22,185,78,79,35,175,70,79,28,186,80,85,29,181,76,70,18,185,75
8,3,Manchester City,2,Aston Villa,4-3-2-1,4-3-3,72,-1,90,45,38,89,27,188,86,68,20,180,72,83,36,179,67,58,17,183,70,83,27,188,76,75,27,178,71,86,27,182,74,78,28,196,77,86,27,191,85,78,23,179,74,91,30,181,70,78,35,175,65,83,36,179,67,68,20,180,72,62,17,181,75,78,26,178,68,83,24,175,73,77,23,175,66,84,21,171,69,79,24,172,65,86,30,179,67,78,25,180,70,67,35,190,86,55,19,196,76,78,26,180,75,78,35,175,65,80,24,175,64,78,28,196,77,85,31,183,83,75,27,178,71,85,30,180,80,76,26,180,73,84,25,180,81,63,17,183,70,61,18,187,78,53,17,181,68,64,19,189,74,77,25,181,73,88,26,170,69,81,28,178,73
9,0,Norwich City,5,Tottenham Hotspur,3-4-2-1,5-4-1,-56,24,22,68,38,77,33,188,74,87,34,188,82,75,29,187,81,79,25,187,79,73,27,183,72,79,28,182,76,74,25,178,71,79,27,190,90,70,23,184,77,75,21,178,71,75,21,178,69,79,27,190,90,71,23,185,70,79,22,181,79,76,25,179,75,83,25,185,84,77,25,177,73,79,28,182,76,76,28,186,70,79,25,187,79,76,31,180,80,90,27,188,89,72,25,196,77,82,26,194,94,72,28,185,78,72,23,193,76,71,28,194,92,62,19,178,70,55,18,178,65,77,25,176,74,73,30,178,73,78,29,182,87,69,23,177,72,57,16,180,70,71,21,185,79,80,23,178,78,74,19,179,73,81,28,174,70,71,23,185,70,63,17,179,73
