Season_End_Year,Team,Rk
1993,Arsenal,10
1993,Aston Villa,2
1993,Blackburn,4
1993,Chelsea,11
1993,Coventry City,15
1993,Crystal Palace,20
1993,Everton,13
1993,Ipswich Town,16
1993,Leeds United,17
1993,Liverpool,6
1993,Manchester City,9
1993,Manchester Utd,1
1993,Middlesbrough,21
1993,Norwich City,3
1993,Nott'ham Forest,22
1993,Oldham Athletic,19
1993,QPR,5
1993,Sheffield Utd,14
1993,Sheffield Weds,7
1993,Southampton,18
1993,Tottenham,8
1993,Wimbledon,12
1994,Arsenal,4
1994,Aston Villa,10
1994,Blackburn,2
1994,Chelsea,14
1994,Coventry City,11
1994,Everton,17
1994,Ipswich Town,19
1994,Leeds United,5
1994,Liverpool,8
1994,Manchester City,16
1994,Manchester Utd,1
1994,Newcastle Utd,3
1994,Norwich City,12
1994,Oldham Athletic,21
1994,QPR,9
1994,Sheffield Utd,20
1994,Sheffield Weds,7
1994,Southampton,18
1994,Swindon Town,22
1994,Tottenham,15
1994,West Ham,13
1994,Wimbledon,6
1995,Arsenal,12
1995,Aston Villa,18
1995,Blackburn,1
1995,Chelsea,11
1995,Coventry City,16
1995,Crystal Palace,19
1995,Everton,15
1995,Ipswich Town,22
1995,Leeds United,5
1995,Leicester City,21
1995,Liverpool,4
1995,Manchester City,17
1995,Manchester Utd,2
1995,Newcastle Utd,6
1995,Norwich City,20
1995,Nott'ham Forest,3
1995,QPR,8
1995,Sheffield Weds,13
1995,Southampton,10
1995,Tottenham,7
1995,West Ham,14
1995,Wimbledon,9
1996,Arsenal,5
1996,Aston Villa,4
1996,Blackburn,7
1996,Bolton,20
1996,Chelsea,11
1996,Coventry City,16
1996,Everton,6
1996,Leeds United,13
1996,Liverpool,3
1996,Manchester City,18
1996,Manchester Utd,1
1996,Middlesbrough,12
1996,Newcastle Utd,2
1996,Nott'ham Forest,9
1996,QPR,19
1996,Sheffield Weds,15
1996,Southampton,17
1996,Tottenham,8
1996,West Ham,10
1996,Wimbledon,14
1997,Arsenal,3
1997,Aston Villa,5
1997,Blackburn,13
1997,Chelsea,6
1997,Coventry City,17
1997,Derby County,12
1997,Everton,15
1997,Leeds United,11
1997,Leicester City,9
1997,Liverpool,4
1997,Manchester Utd,1
1997,Middlesbrough,19
1997,Newcastle Utd,2
1997,Nott'ham Forest,20
1997,Sheffield Weds,7
1997,Southampton,16
1997,Sunderland,18
1997,Tottenham,10
1997,West Ham,14
1997,Wimbledon,8
1998,Arsenal,1
1998,Aston Villa,7
1998,Barnsley,19
1998,Blackburn,6
1998,Bolton,18
1998,Chelsea,4
1998,Coventry City,11
1998,Crystal Palace,20
1998,Derby County,9
1998,Everton,17
1998,Leeds United,5
1998,Leicester City,10
1998,Liverpool,3
1998,Manchester Utd,2
1998,Newcastle Utd,13
1998,Sheffield Weds,16
1998,Southampton,12
1998,Tottenham,14
1998,West Ham,8
1998,Wimbledon,15
1999,Arsenal,2
1999,Aston Villa,6
1999,Blackburn,19
1999,Charlton Ath,18
1999,Chelsea,3
1999,Coventry City,15
1999,Derby County,8
1999,Everton,14
1999,Leeds United,4
1999,Leicester City,10
1999,Liverpool,7
1999,Manchester Utd,1
1999,Middlesbrough,9
1999,Newcastle Utd,13
1999,Nott'ham Forest,20
1999,Sheffield Weds,12
1999,Southampton,17
1999,Tottenham,11
1999,West Ham,5
1999,Wimbledon,16
2000,Arsenal,2
2000,Aston Villa,6
2000,Bradford City,17
2000,Chelsea,5
2000,Coventry City,14
2000,Derby County,16
2000,Everton,13
2000,Leeds United,3
2000,Leicester City,8
2000,Liverpool,4
2000,Manchester Utd,1
2000,Middlesbrough,12
2000,Newcastle Utd,11
2000,Sheffield Weds,19
2000,Southampton,15
2000,Sunderland,7
2000,Tottenham,10
2000,Watford,20
2000,West Ham,9
2000,Wimbledon,18
2001,Arsenal,2
2001,Aston Villa,8
2001,Bradford City,20
2001,Charlton Ath,9
2001,Chelsea,6
2001,Coventry City,19
2001,Derby County,17
2001,Everton,16
2001,Ipswich Town,5
2001,Leeds United,4
2001,Leicester City,13
2001,Liverpool,3
2001,Manchester City,18
2001,Manchester Utd,1
2001,Middlesbrough,14
2001,Newcastle Utd,11
2001,Southampton,10
2001,Sunderland,7
2001,Tottenham,12
2001,West Ham,15
2002,Arsenal,1
2002,Aston Villa,8
2002,Blackburn,10
2002,Bolton,16
2002,Charlton Ath,14
2002,Chelsea,6
2002,Derby County,19
2002,Everton,15
2002,Fulham,13
2002,Ipswich Town,18
2002,Leeds United,5
2002,Leicester City,20
2002,Liverpool,2
2002,Manchester Utd,3
2002,Middlesbrough,12
2002,Newcastle Utd,4
2002,Southampton,11
2002,Sunderland,17
2002,Tottenham,9
2002,West Ham,7
