Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Arsenal,1,3,+3,3,6,+4,5,6,+2,4,9,+3,5,9,+2,11,9,+1,9,12,+2,11,12,-1,12,13,-1,14,13,-2,15,13,-4,15,13,-5,15,14,-5,15,14,-6,15,17,-4,13,20,-3,11,23,+1,11,24,+1,11,27,+4,9,30,+6,10,31,+6,10,31,+5,11,31,+4,10,34,+6,11,34,+5,10,37,+7,10,38,+7,10,41,+8,9,42,+8,10,42,+5,9,45,+8,9,46,+8,10,46,+7,9,49,+9,9,55,+12,9,55,+12,9,58,+14,8,61,+16
Leicester City,2,3,+3,1,6,+5,1,9,+8,3,9,+5,4,9,+4,4,12,+5,2,15,+8,1,18,+9,4,18,+6,4,18,+5,4,21,+6,3,24,+9,4,24,+7,2,27,+9,3,28,+9,3,29,+9,3,32,+10,4,32,+10,3,38,+14,3,39,+14,4,39,+12,3,42,+14,3,43,+14,3,46,+16,3,49,+17,3,50,+15,3,53,+16,3,56,+21,3,56,+21,3,56,+19,3,56,+18,3,59,+21,3,62,+22,3,63,+22,3,66,+21,3,66,+21,5,66,+20,5,66,+18
Chelsea,3,3,+2,11,3,0,9,4,0,7,7,+4,8,8,+4,10,9,+4,7,12,+7,5,15,+10,3,18,+12,3,19,+12,3,22,+14,5,22,+13,7,22,+12,5,25,+15,8,25,+13,6,26,+13,9,26,+11,9,26,+11,9,29,+10,8,30,+10,7,33,+12,6,36,+13,5,39,+14,4,42,+16,5,43,+16,4,47,+17,4,50,+19,4,51,+19,4,51,+19,5,51,+16,5,54,+19,4,55,+19,4,58,+20,4,61,+22,4,64,+22,4,64,+22,3,67,+23,4,67,+22
Newcastle United,4,3,+2,13,3,-1,10,4,-1,9,7,+1,13,7,-2,14,8,-2,11,11,-1,13,11,-3,15,11,-5,13,14,-3,13,14,-3,12,17,-2,14,17,-5,12,18,-5,13,18,-7,14,19,-7,15,19,-8,15,19,-9,16,19,-14,16,19,-15,15,22,-13,16,22,-14,16,25,-13,17,25,-15,17,25,-17,17,26,-17,16,27,-17,17,28,-17,17,28,-20,17,29,-20,17,32,-19,15,35,-18,16,36,-18,17,36,-20,16,39,-18,16,39,-19,15,42,-18,12,45,-16
Wolverhampton Wanderers,5,3,+2,12,3,0,16,3,-4,13,6,-3,6,9,-2,9,10,-2,6,13,0,9,13,-1,9,14,-1,7,17,0,10,17,-4,13,17,-5,10,20,-4,11,20,-5,11,21,-5,12,21,-6,13,22,-6,14,22,-7,14,22,-8,13,23,-8,14,23,-9,14,26,-8,14,27,-8,12,30,-7,12,33,-6,12,34,-9,12,35,-9,13,35,-10,13,35,-10,14,35,-11,12,38,-10,12,41,-9,12,41,-13,12,42,-13,12,45,-12,12,45,-14,12,45,-15,13,45,-16
Liverpool,6,3,+1,4,6,+3,2,9,+5,5,9,0,3,10,0,2,13,+1,1,16,+2,3,17,+2,2,20,+5,2,21,+5,2,24,+9,2,25,+9,1,28,+10,1,31,+17,1,32,+17,1,33,+17,1,33,+16,2,33,+16,4,34,+15,4,37,+17,3,40,+19,4,40,+18,4,40,+15,6,40,+13,6,40,+11,7,43,+12,8,43,+11,6,46,+12,7,46,+12,7,49,+15,6,52,+16,7,53,+16,6,54,+16,7,54,+16,5,60,+20,5,63,+21,4,66,+24,3,69,+26
Crystal Palace,7,3,+1,5,6,+3,6,6,+2,12,6,-2,14,7,-2,8,10,-1,13,10,-3,8,13,0,11,13,-1,15,13,-3,11,16,+1,11,17,+1,12,18,+1,13,18,-6,14,18,-9,15,19,-9,14,22,-7,13,23,-7,13,23,-11,14,23,-12,13,26,-11,13,29,-10,13,29,-12,14,29,-15,13,32,-14,13,34,-14,13,34,-17,11,37,-16,12,37,-16,12,38,-16,13,38,-19,13,38,-19,13,38,-20,13,38,-22,13,41,-22,13,44,-21,13,44,-23,14,44,-25
Everton,8,3,+1,2,6,+4,3,9,+5,1,12,+7,1,13,+7,1,13,+5,4,13,+4,7,13,+2,6,16,+3,8,16,+2,9,17,+2,7,20,+3,5,23,+5,4,26,+6,2,29,+7,4,29,+7,7,29,+6,5,32,+7,6,32,+7,7,33,+7,8,33,+5,7,36,+6,7,37,+6,7,37,+2,7,40,+4,5,46,+6,6,46,+4,7,46,+3,8,46,+3,8,47,+3,8,48,+3,8,49,+3,8,52,+4,8,52,+3,8,56,+4,8,56,+3,8,59,+4,10,59,-1
Leeds United,9,0,-1,10,3,0,7,6,+1,8,7,+1,10,7,0,6,10,+3,12,10,0,15,10,-3,14,11,-3,12,14,-2,14,14,-4,14,14,-5,13,17,-2,14,17,-6,12,20,-5,11,23,0,12,23,-3,12,23,-3,12,23,-4,12,26,-3,12,29,-1,11,29,-2,10,32,0,11,32,-2,10,35,0,11,35,-1,11,35,-3,12,36,-3,11,39,-2,11,42,-1,10,45,0,10,46,0,9,47,0,11,47,-2,10,50,0,10,53,+4,10,56,+6,9,59,+8
Southampton,10,0,-1,19,0,-4,15,3,-3,11,6,-1,12,7,-1,7,10,+1,5,13,+2,4,16,+4,5,17,+4,6,17,+3,5,20,+4,4,23,+7,3,24,+7,7,24,+6,9,25,+6,9,26,+6,6,29,+7,7,29,+7,10,29,+5,11,29,+3,11,29,+2,12,29,-7,12,29,-8,13,29,-9,14,30,-12,14,30,-13,14,33,-14,14,33,-15,14,33,-15,13,36,-14,14,36,-17,14,36,-18,15,36,-18,15,37,-18,14,40,-18,14,43,-16,14,43,-18,15,43,-21
