Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Arsenal,2,3,+2,2,6,+4,1,9,+7,1,12,+8,1,15,+9,1,15,+7,1,18,+10,1,21,+12,1,24,+13,1,27,+14,1,27,+14,1,28,+14,1,31,+19,1,34,+20,1,37,+22,1,40,+24,1,43,+26,1,44,+26,1,47,+28,1,50,+29,1,50,+28,2,51,+26,1,54,+28,1,60,+33,1,63,+34,1,66,+37,1,69,+40,1,72,+43,1,73,+43,1,74,+43,1,75,+43,1,75,+40,2,78,+42,2,81,+44,2,81,+41,2,81,+40,2,84,+45
Aston Villa,16,0,-2,9,3,-1,13,3,-3,15,3,-4,19,3,-5,17,4,-5,15,7,-4,14,8,-4,16,9,-4,16,9,-6,17,9,-9,15,12,-5,16,12,-9,13,15,-7,12,18,-6,12,18,-8,12,21,-6,11,22,-6,11,25,-5,11,28,-4,11,28,-6,11,28,-8,11,28,-10,11,31,-8,11,34,-7,11,35,-7,11,38,-4,7,44,-1,6,47,+1,6,50,+4,6,51,+4,6,54,+5,8,54,+4,8,54,+3,8,57,+4,7,58,+4,7,61,+5
Bournemouth,3,3,+2,11,3,-2,15,3,-5,17,3,-14,16,4,-14,13,7,-13,12,8,-13,13,9,-13,8,12,-12,10,13,-12,12,13,-13,14,13,-15,14,13,-16,17,13,-17,14,16,-14,14,16,-16,15,16,-18,16,16,-21,17,16,-23,18,17,-23,19,17,-24,19,18,-24,17,21,-23,19,21,-26,20,21,-27,18,24,-26,19,24,-29,18,27,-30,15,30,-29,14,33,-28,15,33,-32,14,36,-31,13,39,-28,14,39,-30,14,39,-32,15,39,-33,15,39,-34
Brentford,9,1,0,3,4,+4,8,4,+3,10,5,+3,11,6,+3,8,9,+6,9,9,+3,10,10,+3,11,10,-1,9,13,+1,10,14,+1,11,14,-3,11,15,-3,11,16,-3,10,19,-2,10,20,-2,10,23,0,9,26,+2,8,29,+4,8,30,+4,7,33,+7,8,34,+7,9,35,+7,9,35,+7,9,38,+8,8,41,+9,8,42,+9,9,43,+8,9,43,+7,9,43,+5,10,44,+5,9,47,+7,9,50,+8,9,50,+7,9,53,+9,9,56,+11,9,59,+12
Brighton and Hove Albion,6,3,+1,8,4,+1,5,7,+3,4,10,+4,4,10,+3,4,13,+6,4,13,+6,4,14,+6,7,14,+5,7,14,+3,8,15,+3,9,15,+1,8,18,+4,6,21,+5,7,21,+4,7,24,+6,9,24,+4,8,27,+7,7,30,+10,6,31,+10,6,34,+11,6,35,+11,7,35,+10,8,35,+10,8,38,+14,7,42,+15,7,42,+15,6,46,+17,7,46,+16,7,49,+17,8,49,+17,8,49,+15,6,55,+22,7,55,+18,6,58,+18,6,62,+20,6,62,+19
Chelsea,8,3,+1,7,4,+1,12,4,-2,6,7,-1,10,7,-2,6,10,-1,7,10,-1,5,13,0,4,16,+3,4,19,+5,4,20,+5,5,21,+5,6,21,+2,7,21,+1,8,21,0,8,24,+2,8,25,+2,10,25,0,10,28,+1,10,29,+1,9,30,+1,10,31,+1,10,31,0,10,31,-2,10,34,-1,10,37,+1,10,38,+1,11,39,-1,11,39,-2,11,39,-3,11,39,-3,11,39,-5,12,39,-7,11,42,-5,11,43,-5,12,43,-9,12,44,-9
Crystal Palace,17,0,-2,16,1,-2,9,4,0,12,4,-2,13,5,-2,15,6,-2,16,6,-2,17,6,-3,15,9,-2,13,10,-2,11,13,-1,13,13,-4,10,16,-3,10,19,-2,11,19,-3,11,19,-6,11,22,-4,12,22,-8,12,23,-9,12,24,-9,12,24,-10,12,25,-10,12,26,-10,12,27,-10,12,27,-11,12,27,-13,12,27,-16,12,30,-15,12,33,-11,12,36,-9,12,37,-9,12,37,-11,11,40,-10,12,40,-11,12,43,-9,11,44,-9,11,45,-9
Everton,15,0,-1,18,0,-2,17,1,-2,18,2,-2,17,3,-2,16,4,-2,13,7,-1,11,10,0,12,10,-1,14,10,-3,15,10,-4,12,13,-1,12,14,-1,16,14,-3,17,14,-6,17,14,-7,16,15,-7,18,15,-10,19,15,-11,19,15,-13,18,18,-12,18,18,-14,16,21,-13,18,21,-19,18,22,-19,15,25,-18,15,26,-18,16,27,-18,17,27,-20,17,27,-22,18,28,-22,19,28,-25,19,29,-25,17,32,-21,17,32,-24,17,33,-24,17,36,-23
Fulham,10,1,0,13,2,0,7,5,+1,11,5,0,8,8,+1,10,8,0,6,11,+1,8,11,-2,9,11,-4,11,12,-4,9,15,-1,7,18,0,7,19,0,9,19,-1,9,19,-2,9,22,+1,7,25,+2,6,31,+4,6,31,+3,7,31,+2,8,32,+2,7,35,+4,6,38,+5,7,39,+5,7,39,+4,9,39,+1,9,39,+1,10,39,0,10,39,-1,10,42,+1,9,45,+2,10,45,+1,10,45,-1,10,48,+1,10,51,+3,10,52,+3,10,52,+2
Leeds United,7,3,+1,6,4,+1,3,7,+4,5,7,+3,7,8,+3,9,8,0,11,8,0,12,9,0,14,9,-1,15,9,-2,16,9,-4,18,9,-5,15,12,-4,12,15,-3,15,15,-4,15,15,-6,14,16,-6,14,17,-6,14,17,-7,15,18,-7,16,19,-8,17,19,-10,19,19,-11,17,22,-10,17,22,-11,19,23,-11,14,26,-9,13,29,-11,16,29,-15,16,29,-20,16,29,-21,16,30,-21,17,30,-24,19,30,-25,18,31,-25,19,31,-27,19,31,-30
